dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ART,2024-03-31,2024-05-07,2024-03-31,2024-Q1,418176000.000000,1564930411.000000,2025-05-14,-148000.000000,450211000.000000,462776750.000000,442785000.000000,7426000.000000,,2.688000,,184140000.000000,184140000.000000,,,17.993000,0.060000,4429000.000000,3491000.000000,938000.000000,4429000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,424542000.000000,223192500.000000,424542000.000000,1385219411.000000,,,,,1.000000,,,0.000000,,245891000.000000,147620000.000000,0.000000,240090000.000000,239788000.000000,302000.000000,25669000.000000,24609000.000000,1060000.000000,,,,,,,,,,,,,,,,,,,1492000.000000,,3.686000,,,5911000.000000,,9.810000,,,0.000000,-757155000.000000,,,,,,,,,,1.000000,159523997.000000,157943000.000000,,,450211000.000000,0.000000,,0.000000,2.850000
ART,2024-06-30,2024-08-06,2024-06-30,2024-Q2,375194000.000000,1918732675.000000,2025-05-14,-187000.000000,404473000.000000,473907000.000000,398319000.000000,6154000.000000,0.000000,2.398000,-81000.000000,151891000.000000,151891000.000000,0.000000,-274178000.000000,17.225000,0.061000,3607000.000000,3607000.000000,0.000000,3607000.000000,0.000000,3996000.000000,0.000000,0.000000,0.000000,-273785000.000000,-269789000.000000,,-269789000.000000,-273785000.000000,-273785000.000000,-1.890000,-1.890000,-1.890000,381259000.000000,446892500.000000,381259000.000000,1770448675.000000,-6.000000,-6.562000,-198409000.000000,-1.248000,1.000000,0.000000,,0.000000,0.000000,233064000.000000,172072750.000000,0.000000,220961000.000000,220961000.000000,0.000000,23214000.000000,23125000.000000,89000.000000,-53540000.000000,-5365000.000000,239724000.000000,0.000000,0.000000,236042000.000000,-91254000.000000,-85808000.000000,-198328000.000000,0.000000,-274178000.000000,-274178000.000000,-274178000.000000,0.000000,0.000000,,294764000.000000,-294764000.000000,1082000.000000,0.000000,5.033000,-6.998000,-6.344000,4941000.000000,0.000000,11.990000,,,0.000000,-815855000.000000,0.000000,0.000000,174850000.000000,-0.579000,-0.614000,-1.591000,,32643000.000000,56010000.000000,1.000000,160027746.000000,158984000.000000,158984000.000000,0.000000,404473000.000000,0.000000,393000.000000,0.000000,2.544000
ART,2024-09-30,2024-11-12,2024-09-30,2024-Q3,316865000.000000,1827255634.000000,2025-05-14,105000.000000,352537000.000000,425854000.000000,348608000.000000,3929000.000000,0.000000,2.010000,-44000.000000,276927000.000000,276927000.000000,0.000000,-293698000.000000,10.982000,0.099000,2745000.000000,2745000.000000,0.000000,2745000.000000,0.000000,3962000.000000,0.000000,0.000000,0.000000,-293252000.000000,-289290000.000000,,-289290000.000000,-293252000.000000,-293252000.000000,-1.200000,-1.200000,-1.200000,320739000.000000,398904000.000000,320739000.000000,1553073634.000000,-5.000000,-5.369000,-184082000.000000,-1.154000,1.000000,0.000000,,0.000000,0.000000,46612000.000000,156657750.000000,0.000000,65593000.000000,65593000.000000,0.000000,31798000.000000,31743000.000000,55000.000000,-136570000.000000,-5365000.000000,6594000.000000,0.000000,0.000000,5549000.000000,41919000.000000,47328000.000000,-184038000.000000,0.000000,-293698000.000000,-293698000.000000,-293698000.000000,0.000000,0.000000,,314546000.000000,-314546000.000000,6107000.000000,0.000000,5.697000,-6.222000,-9.425000,3929000.000000,0.000000,11.310000,,,0.000000,-888402000.000000,0.000000,0.000000,193879000.000000,-0.690000,-0.736000,-1.872000,,36138000.000000,56763000.000000,1.000000,161561064.000000,159576000.000000,159576000.000000,0.000000,352537000.000000,0.000000,446000.000000,0.000000,2.209000
ART,2024-12-31,2025-03-03,2024-12-31,2024-Q4,284169000.000000,227580387.000000,2025-05-14,62000.000000,316972000.000000,381048250.000000,314055000.000000,2917000.000000,0.000000,1.801000,0.000000,143361000.000000,143361000.000000,0.000000,-243787000.000000,10.508000,0.104000,1853000.000000,1853000.000000,0.000000,1853000.000000,0.000000,3921000.000000,0.000000,0.000000,0.000000,-243609000.000000,-239688000.000000,,-239688000.000000,-243609000.000000,-243609000.000000,-1.530000,-1.530000,-1.530000,287064000.000000,353401000.000000,287064000.000000,86072387.000000,0.000000,-0.359000,-182936000.000000,-1.148000,1.000000,0.000000,,0.000000,0.000000,145578000.000000,167786250.000000,0.000000,165430000.000000,165430000.000000,0.000000,29908000.000000,29886000.000000,22000.000000,-231890000.000000,-775000.000000,21603000.000000,0.000000,0.000000,21603000.000000,-70557000.000000,-69782000.000000,-182936000.000000,0.000000,-243787000.000000,-243787000.000000,-243787000.000000,0.000000,0.000000,,263464000.000000,-263464000.000000,3307000.000000,0.000000,0.793000,-0.934000,-0.918000,2917000.000000,0.000000,1.405000,,,0.000000,-947221000.000000,0.000000,0.000000,200927000.000000,-0.640000,-0.690000,-1.452000,,39990000.000000,62537000.000000,1.000000,161978923.000000,159377000.000000,159377000.000000,0.000000,316972000.000000,0.000000,178000.000000,0.000000,1.989000
ART,2025-03-31,2025-05-12,2025-03-31,2025-Q1,226482000.000000,112010436.000000,2025-05-14,-3000.000000,256748000.000000,332682500.000000,254866000.000000,1882000.000000,0.000000,1.414000,0.000000,128073000.000000,128073000.000000,0.000000,-258058000.000000,8.979000,0.124000,938000.000000,938000.000000,0.000000,938000.000000,0.000000,4006000.000000,0.000000,0.000000,0.000000,-257775000.000000,-253769000.000000,,-253769000.000000,-257775000.000000,-257775000.000000,-1.610000,-1.610000,-1.610000,228364000.000000,304356500.000000,228364000.000000,-15124564.000000,0.000000,0.060000,-199429000.000000,-1.235000,1.000000,0.000000,,0.000000,0.000000,101229000.000000,131620750.000000,0.000000,122493000.000000,122493000.000000,0.000000,28384000.000000,28384000.000000,0.000000,-56067000.000000,0.000000,19758000.000000,0.000000,0.000000,19758000.000000,123604000.000000,123604000.000000,-199429000.000000,0.000000,-258058000.000000,-258058000.000000,-258058000.000000,0.000000,0.000000,,274326000.000000,-274326000.000000,1052000.000000,0.000000,0.490000,-0.434000,-0.430000,1882000.000000,0.000000,0.693000,,,0.000000,-1015213000.000000,0.000000,0.000000,207321000.000000,-0.776000,-0.848000,-1.958000,,41941000.000000,67005000.000000,1.000000,161747922.000000,161451000.000000,161451000.000000,0.000000,256748000.000000,0.000000,283000.000000,0.000000,1.590000
ARY,2022-12-31,2023-08-25,2022-12-31,2022-FY,364258000.000000,,2025-05-14,-774000.000000,426234000.000000,,387955000.000000,38279000.000000,,-2.093000,-511000.000000,242206000.000000,242206000.000000,0.000000,-130904000.000000,16.371000,-0.066000,8442000.000000,3370000.000000,5072000.000000,8442000.000000,0.000000,2697000.000000,0.000000,,0.000000,-130904000.000000,-128207000.000000,,-128207000.000000,-130904000.000000,-130904000.000000,-0.610000,-0.610000,-0.610000,-446850000.000000,,-446850000.000000,,,,-115407000.000000,-0.541000,1.000000,0.000000,,0.000000,0.000000,168773000.000000,,0.000000,154452000.000000,130941000.000000,23511000.000000,29397000.000000,23697000.000000,5700000.000000,-167166000.000000,-13000000.000000,4271000.000000,0.000000,0.000000,115743000.000000,-168013000.000000,-154502000.000000,-114896000.000000,0.000000,-130904000.000000,-130904000.000000,-130904000.000000,0.000000,0.000000,,135870000.000000,-135870000.000000,7147000.000000,0.000000,,,,10642000.000000,0.000000,,,,0.000000,-467509000.000000,0.000000,0.000000,91749000.000000,,,,,8298000.000000,31121000.000000,1.000000,137239096.000000,213477000.000000,213477000.000000,0.000000,426234000.000000,0.000000,0.000000,0.000000,1.997000
ARY,2023-12-31,2024-03-07,2023-12-31,2023-FY,453168000.000000,3018835919.000000,2025-05-14,-76000.000000,496195000.000000,461214500.000000,478279000.000000,17916000.000000,0.000000,7.214000,-117000.000000,375251000.000000,375251000.000000,0.000000,-235925000.000000,19.047000,0.058000,5231000.000000,3378000.000000,1853000.000000,5231000.000000,0.000000,4023000.000000,0.000000,0.000000,0.000000,-235657000.000000,-231634000.000000,,-231634000.000000,-235657000.000000,-235657000.000000,-3.630000,-3.630000,-3.630000,469076000.000000,11113000.000000,469076000.000000,2648815919.000000,-11.000000,-11.435000,-163395000.000000,-2.513000,1.000000,0.000000,,0.000000,0.000000,101064000.000000,134918500.000000,0.000000,89789000.000000,79944000.000000,9845000.000000,27119000.000000,25111000.000000,2008000.000000,133045000.000000,-4590000.000000,235740000.000000,0.000000,0.000000,231936000.000000,64387000.000000,69094000.000000,-163278000.000000,0.000000,-235925000.000000,-235925000.000000,-235925000.000000,0.000000,0.000000,,252098000.000000,-252098000.000000,337000.000000,0.000000,6.436000,-12.796000,-5.234000,6858000.000000,0.000000,19.000000,,,0.000000,-703434000.000000,0.000000,0.000000,142719000.000000,-0.512000,-21.230000,-1.747000,,17240000.000000,45475000.000000,1.000000,158886101.000000,65021000.000000,65021000.000000,0.000000,496195000.000000,0.000000,268000.000000,0.000000,7.631000
ARY,2024-12-31,2025-03-03,2024-12-31,2024-FY,284169000.000000,227580387.000000,2025-05-14,62000.000000,316972000.000000,381048250.000000,314055000.000000,2917000.000000,0.000000,1.801000,0.000000,143361000.000000,143361000.000000,0.000000,-243787000.000000,10.508000,0.104000,1853000.000000,1853000.000000,0.000000,1853000.000000,0.000000,3921000.000000,0.000000,0.000000,0.000000,-243609000.000000,-239688000.000000,,-239688000.000000,-243609000.000000,-243609000.000000,-1.530000,-1.530000,-1.530000,287064000.000000,353401000.000000,287064000.000000,86072387.000000,0.000000,-0.359000,-182936000.000000,-1.148000,1.000000,0.000000,,0.000000,0.000000,145578000.000000,167786250.000000,0.000000,165430000.000000,165430000.000000,0.000000,29908000.000000,29886000.000000,22000.000000,-231890000.000000,-775000.000000,21603000.000000,0.000000,0.000000,21603000.000000,-70557000.000000,-69782000.000000,-182936000.000000,0.000000,-243787000.000000,-243787000.000000,-243787000.000000,0.000000,0.000000,,263464000.000000,-263464000.000000,3307000.000000,0.000000,0.793000,-0.934000,-0.918000,2917000.000000,0.000000,1.405000,,,0.000000,-947221000.000000,0.000000,0.000000,200927000.000000,-0.640000,-0.690000,-1.452000,,39990000.000000,62537000.000000,1.000000,161978923.000000,159377000.000000,159377000.000000,0.000000,316972000.000000,0.000000,178000.000000,0.000000,1.989000
MRQ,2021-12-31,2021-12-31,2021-12-31,2021-Q4,392325000.000000,,2025-05-14,0.000000,429297000.000000,,415603000.000000,13694000.000000,,-1.893000,,409372000.000000,409372000.000000,,,17.854000,-0.076000,2052000.000000,1056000.000000,996000.000000,2052000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-325221000.000000,,-325221000.000000,,,,,,1.000000,,,0.000000,,-1301000.000000,,0.000000,0.000000,0.000000,0.000000,24660000.000000,23278000.000000,1382000.000000,,,,,,,,,,,,,,,,,,,1639000.000000,,,,,4041000.000000,,,,,0.000000,-336605000.000000,,,,,,,,,,1.000000,,171815000.000000,,,429297000.000000,0.000000,,0.000000,2.499000
MRQ,2022-09-30,2022-09-30,2022-09-30,2022-Q3,,,2025-05-14,,,,,,,,-130000.000000,,,0.000000,-29344000.000000,,,,,,,,922000.000000,,,0.000000,-29344000.000000,-28422000.000000,,-28422000.000000,-29344000.000000,-29344000.000000,-1.060000,-1.060000,-1.060000,,,,,,,-25894000.000000,-0.937000,1.000000,0.000000,,,0.000000,,,,,,,,,,78107000.000000,0.000000,144000.000000,0.000000,0.000000,87178000.000000,16693000.000000,16823000.000000,-25764000.000000,0.000000,-29344000.000000,-29344000.000000,-29344000.000000,0.000000,0.000000,,30602000.000000,-30602000.000000,,0.000000,,,,,0.000000,,,,,,0.000000,0.000000,22549000.000000,,,,,2101000.000000,8053000.000000,1.000000,,27646000.000000,27646000.000000,0.000000,,,0.000000,,
MRQ,2022-12-31,2022-12-31,2022-12-31,2022-Q4,364258000.000000,,2025-05-14,-774000.000000,426234000.000000,,387955000.000000,38279000.000000,,-15.787000,-23000.000000,242206000.000000,242206000.000000,0.000000,-28146000.000000,16.371000,-0.066000,8442000.000000,3370000.000000,5072000.000000,8442000.000000,0.000000,927000.000000,0.000000,,0.000000,-28146000.000000,-27219000.000000,,-27219000.000000,-28146000.000000,-28146000.000000,-0.980000,-0.980000,-0.980000,-446850000.000000,,-446850000.000000,,,,-30389000.000000,-1.074000,1.000000,0.000000,,0.000000,0.000000,168773000.000000,,0.000000,154452000.000000,130941000.000000,23511000.000000,29397000.000000,23697000.000000,5700000.000000,-11563000.000000,0.000000,1655000.000000,0.000000,0.000000,26833000.000000,-8030000.000000,-8007000.000000,-30366000.000000,0.000000,-28146000.000000,-28146000.000000,-28146000.000000,0.000000,0.000000,,30718000.000000,-30718000.000000,7147000.000000,0.000000,,,,10642000.000000,0.000000,,,,0.000000,-467509000.000000,0.000000,0.000000,23523000.000000,,,,,2792000.000000,7195000.000000,1.000000,137239096.000000,28305000.000000,28305000.000000,0.000000,426234000.000000,0.000000,0.000000,0.000000,15.059000
MRQ,2023-03-31,2023-03-31,2023-03-31,2023-Q1,,,2025-05-14,,,,,,,,-36000.000000,,,0.000000,-35625000.000000,,,,,,,,957000.000000,,,0.000000,-35625000.000000,-34668000.000000,,-34668000.000000,-35625000.000000,-35625000.000000,-1.220000,-1.220000,-1.220000,,,,,,,-33077000.000000,-1.130000,1.000000,0.000000,,,0.000000,,,,,,,,,,-30123000.000000,0.000000,111000.000000,0.000000,0.000000,101000.000000,2817000.000000,2853000.000000,-33041000.000000,0.000000,-35625000.000000,-35625000.000000,-35625000.000000,0.000000,0.000000,,39168000.000000,-39168000.000000,,0.000000,,,,,0.000000,,,,,,0.000000,0.000000,29485000.000000,,,,,2195000.000000,9683000.000000,1.000000,137239096.000000,29277000.000000,29277000.000000,0.000000,,,0.000000,,
MRQ,2023-06-30,2023-06-30,2023-06-30,2023-Q2,310523000.000000,,2025-05-14,-448000.000000,359952000.000000,,336611000.000000,23341000.000000,,-17.047000,0.000000,205431000.000000,205431000.000000,0.000000,-38543000.000000,12.903000,-0.058000,6820000.000000,3323000.000000,3497000.000000,6820000.000000,0.000000,991000.000000,0.000000,,0.000000,-38543000.000000,-37552000.000000,,-37552000.000000,-38543000.000000,-38543000.000000,-1.280000,-1.280000,-1.280000,-513541000.000000,,-513541000.000000,,,,-31022000.000000,-1.030000,1.000000,0.000000,,0.000000,0.000000,135253000.000000,,0.000000,129871000.000000,119979000.000000,9892000.000000,29806000.000000,26088000.000000,3718000.000000,-6652000.000000,0.000000,404000.000000,0.000000,0.000000,292000.000000,24078000.000000,24078000.000000,-31022000.000000,0.000000,-38543000.000000,-38543000.000000,-38543000.000000,0.000000,0.000000,,42062000.000000,-42062000.000000,8172000.000000,0.000000,,,,8683000.000000,0.000000,,,,0.000000,-541677000.000000,0.000000,0.000000,32769000.000000,,,,,2543000.000000,9293000.000000,1.000000,137239096.000000,30125000.000000,30125000.000000,0.000000,359952000.000000,0.000000,0.000000,0.000000,11.949000
MRQ,2023-09-30,2023-09-30,2023-09-30,2023-Q3,496612000.000000,2144001745.000000,2025-05-14,-311000.000000,544749000.000000,,525735000.000000,19014000.000000,,10.981000,-37000.000000,413497000.000000,413497000.000000,0.000000,-53027000.000000,18.052000,0.063000,6143000.000000,3398000.000000,2745000.000000,6143000.000000,0.000000,1023000.000000,0.000000,0.000000,0.000000,-53027000.000000,-52004000.000000,,-52004000.000000,-53027000.000000,-53027000.000000,-1.140000,-1.140000,-1.140000,512693000.000000,,512693000.000000,1945390745.000000,-13.000000,-12.846000,-47810000.000000,-1.024000,1.000000,0.000000,,0.000000,0.000000,108272000.000000,,0.000000,107194000.000000,97281000.000000,9913000.000000,32056000.000000,29123000.000000,2933000.000000,208066000.000000,0.000000,234886000.000000,0.000000,0.000000,232024000.000000,23815000.000000,23852000.000000,-47773000.000000,0.000000,-53027000.000000,-53027000.000000,-53027000.000000,0.000000,0.000000,,56864000.000000,-56864000.000000,2229000.000000,0.000000,4.182000,-13.802000,-3.054000,7888000.000000,0.000000,14.110000,,,0.000000,-594704000.000000,0.000000,0.000000,41601000.000000,,,,,6451000.000000,15263000.000000,1.000000,151949096.000000,46691000.000000,46691000.000000,0.000000,544749000.000000,0.000000,0.000000,0.000000,11.667000
MRQ,2023-12-31,2023-12-31,2023-12-31,2023-Q4,453168000.000000,2603591538.000000,2025-05-14,-76000.000000,496195000.000000,,478279000.000000,17916000.000000,,7.214000,-44000.000000,375251000.000000,375251000.000000,0.000000,-108730000.000000,19.047000,0.058000,5231000.000000,3378000.000000,1853000.000000,5231000.000000,0.000000,1052000.000000,0.000000,0.000000,0.000000,-108462000.000000,-107410000.000000,,-107410000.000000,-108462000.000000,-108462000.000000,-0.040000,-0.040000,-0.040000,469076000.000000,,469076000.000000,2196237538.000000,-9.000000,-9.481000,-51486000.000000,-0.792000,1.000000,0.000000,,0.000000,0.000000,101064000.000000,,0.000000,89789000.000000,79944000.000000,9845000.000000,27119000.000000,25111000.000000,2008000.000000,-38246000.000000,-4590000.000000,339000.000000,0.000000,0.000000,-481000.000000,13677000.000000,18311000.000000,-51442000.000000,0.000000,-108730000.000000,-108730000.000000,-108730000.000000,0.000000,0.000000,,114004000.000000,-114004000.000000,337000.000000,0.000000,5.550000,-11.036000,-4.697000,6858000.000000,0.000000,17.050000,,,0.000000,-703434000.000000,0.000000,0.000000,38864000.000000,,,,,6051000.000000,11236000.000000,1.000000,152703316.000000,65021000.000000,65021000.000000,0.000000,496195000.000000,0.000000,268000.000000,0.000000,7.631000
MRQ,2024-03-31,2024-03-31,2024-03-31,2024-Q1,418176000.000000,2184683889.000000,2025-05-14,-148000.000000,450211000.000000,,442785000.000000,7426000.000000,,2.688000,0.000000,184140000.000000,184140000.000000,0.000000,-53721000.000000,17.993000,0.060000,4429000.000000,3491000.000000,938000.000000,4429000.000000,0.000000,949000.000000,0.000000,0.000000,0.000000,-53721000.000000,-52772000.000000,,-52772000.000000,-53721000.000000,-53721000.000000,-0.340000,-0.340000,-0.340000,424542000.000000,,424542000.000000,1814663889.000000,-7.000000,-7.266000,-42955000.000000,-0.272000,1.000000,0.000000,,0.000000,0.000000,245891000.000000,,0.000000,240090000.000000,239788000.000000,302000.000000,25669000.000000,24609000.000000,1060000.000000,-191111000.000000,-775000.000000,1845000.000000,0.000000,0.000000,1845000.000000,-150001000.000000,-149226000.000000,-42955000.000000,0.000000,-53721000.000000,-53721000.000000,-53721000.000000,0.000000,0.000000,,60074000.000000,-60074000.000000,1492000.000000,0.000000,5.146000,-8.600000,-4.911000,5911000.000000,0.000000,13.750000,,,0.000000,-757155000.000000,0.000000,0.000000,45757000.000000,,,,,7373000.000000,14317000.000000,1.000000,158886101.000000,157943000.000000,157943000.000000,0.000000,450211000.000000,0.000000,0.000000,0.000000,2.850000
MRQ,2024-06-30,2024-06-30,2024-06-30,2024-Q2,375194000.000000,1568120891.000000,2025-05-14,-187000.000000,404473000.000000,,398319000.000000,6154000.000000,,2.398000,0.000000,151891000.000000,151891000.000000,0.000000,-58700000.000000,17.225000,0.061000,3607000.000000,3607000.000000,0.000000,3607000.000000,0.000000,972000.000000,0.000000,0.000000,0.000000,-58575000.000000,-57603000.000000,,-57603000.000000,-58575000.000000,-58575000.000000,-0.370000,-0.370000,-0.370000,381259000.000000,,381259000.000000,1388409891.000000,-5.000000,-5.146000,-56158000.000000,-0.353000,1.000000,0.000000,,0.000000,0.000000,233064000.000000,,0.000000,220961000.000000,220961000.000000,0.000000,23214000.000000,23125000.000000,89000.000000,-32249000.000000,0.000000,2654000.000000,0.000000,0.000000,2654000.000000,21255000.000000,21255000.000000,-56158000.000000,0.000000,-58700000.000000,-58700000.000000,-58700000.000000,0.000000,0.000000,,63822000.000000,-63822000.000000,1082000.000000,0.000000,4.113000,-5.719000,-5.201000,4941000.000000,0.000000,9.830000,,,0.000000,-815855000.000000,0.000000,0.000000,48628000.000000,,,,,12768000.000000,15194000.000000,1.000000,159523997.000000,158984000.000000,158984000.000000,0.000000,404473000.000000,0.000000,125000.000000,0.000000,2.544000
MRQ,2024-09-30,2024-09-30,2024-09-30,2024-Q3,316865000.000000,2113966525.000000,2025-05-14,105000.000000,352537000.000000,,348608000.000000,3929000.000000,,2.010000,0.000000,276927000.000000,276927000.000000,0.000000,-72547000.000000,10.982000,0.099000,2745000.000000,2745000.000000,0.000000,2745000.000000,0.000000,989000.000000,0.000000,0.000000,0.000000,-72494000.000000,-71505000.000000,,-71505000.000000,-72494000.000000,-72494000.000000,-0.450000,-0.450000,-0.450000,320739000.000000,,320739000.000000,1965682525.000000,-7.000000,-6.795000,-33483000.000000,-0.210000,1.000000,0.000000,,0.000000,0.000000,46612000.000000,,0.000000,65593000.000000,65593000.000000,0.000000,31798000.000000,31743000.000000,55000.000000,125036000.000000,0.000000,1756000.000000,0.000000,0.000000,1531000.000000,156988000.000000,156988000.000000,-33483000.000000,0.000000,-72547000.000000,-72547000.000000,-72547000.000000,0.000000,0.000000,,76646000.000000,-76646000.000000,6107000.000000,0.000000,6.591000,-7.198000,-11.008000,3929000.000000,0.000000,13.210000,,,0.000000,-888402000.000000,0.000000,0.000000,60630000.000000,,,,,9946000.000000,16016000.000000,1.000000,160027746.000000,159576000.000000,159576000.000000,0.000000,352537000.000000,0.000000,53000.000000,0.000000,2.209000
MRQ,2024-12-31,2024-12-31,2024-12-31,2024-Q4,284169000.000000,1712547278.000000,2025-05-14,62000.000000,316972000.000000,,314055000.000000,2917000.000000,,1.783000,0.000000,143361000.000000,143361000.000000,0.000000,-58819000.000000,10.508000,0.104000,1853000.000000,1853000.000000,0.000000,1853000.000000,0.000000,1011000.000000,0.000000,0.000000,0.000000,-58819000.000000,-57808000.000000,,-57808000.000000,-58819000.000000,-58819000.000000,-0.370000,-0.370000,-0.370000,287064000.000000,,287064000.000000,1438365278.000000,-6.000000,-6.001000,-50340000.000000,-0.313000,1.000000,0.000000,,0.000000,0.000000,145578000.000000,,0.000000,165430000.000000,165430000.000000,0.000000,29908000.000000,29886000.000000,22000.000000,-133566000.000000,0.000000,15348000.000000,0.000000,0.000000,15573000.000000,-98799000.000000,-98799000.000000,-50340000.000000,0.000000,-58819000.000000,-58819000.000000,-58819000.000000,0.000000,0.000000,,62922000.000000,-62922000.000000,3307000.000000,0.000000,5.966000,-7.025000,-6.928000,2917000.000000,0.000000,10.600000,,,0.000000,-947221000.000000,0.000000,0.000000,45912000.000000,,,,,9903000.000000,17010000.000000,1.000000,161561064.000000,160997000.000000,160997000.000000,0.000000,316972000.000000,0.000000,0.000000,0.000000,1.969000
MRQ,2025-03-31,2025-03-31,2025-03-31,2025-Q1,226482000.000000,161978923.000000,2025-05-14,-3000.000000,256748000.000000,,254866000.000000,1882000.000000,,1.414000,0.000000,128073000.000000,128073000.000000,0.000000,-67992000.000000,8.979000,0.124000,938000.000000,938000.000000,0.000000,938000.000000,0.000000,1034000.000000,0.000000,0.000000,0.000000,-67887000.000000,-66853000.000000,,-66853000.000000,-67887000.000000,-67887000.000000,-0.420000,-0.420000,-0.420000,228364000.000000,,228364000.000000,20470923.000000,0.000000,-0.081000,-59448000.000000,-0.368000,1.000000,0.000000,,0.000000,0.000000,101229000.000000,,0.000000,122493000.000000,122493000.000000,0.000000,28384000.000000,28384000.000000,0.000000,-15288000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44160000.000000,44160000.000000,-59448000.000000,0.000000,-67992000.000000,-67992000.000000,-67992000.000000,0.000000,0.000000,,70936000.000000,-70936000.000000,1052000.000000,0.000000,0.709000,-0.628000,-0.621000,1882000.000000,0.000000,1.000000,,,0.000000,-1015213000.000000,0.000000,0.000000,52151000.000000,,,,,9324000.000000,18785000.000000,1.000000,161978923.000000,161451000.000000,161451000.000000,0.000000,256748000.000000,0.000000,105000.000000,0.000000,1.590000
MRT,2021-12-31,2021-12-31,2021-12-31,2021-Q4,392325000.000000,,2025-05-14,0.000000,429297000.000000,,415603000.000000,13694000.000000,,-1.893000,-817000.000000,409372000.000000,409372000.000000,0.000000,-237312000.000000,17.854000,-0.076000,2052000.000000,1056000.000000,996000.000000,2052000.000000,0.000000,1551000.000000,0.000000,,0.000000,-237312000.000000,-235761000.000000,,-235761000.000000,-237312000.000000,-237312000.000000,-1.380000,-1.380000,-1.380000,-325221000.000000,,-325221000.000000,,,,-76237000.000000,-0.444000,1.000000,0.000000,,0.000000,0.000000,-1301000.000000,,0.000000,0.000000,0.000000,0.000000,24660000.000000,23278000.000000,1382000.000000,217270000.000000,0.000000,3469000.000000,0.000000,0.000000,293507000.000000,-817000.000000,0.000000,-75420000.000000,0.000000,-237312000.000000,-237312000.000000,-237312000.000000,0.000000,0.000000,,237323000.000000,-237323000.000000,1639000.000000,0.000000,,,,4041000.000000,0.000000,,,,0.000000,-336605000.000000,0.000000,0.000000,55776000.000000,,,,,4274000.000000,24547000.000000,1.000000,,171815000.000000,171815000.000000,0.000000,429297000.000000,0.000000,0.000000,0.000000,2.499000
MRT,2022-09-30,2022-09-30,2022-09-30,2022-Q3,,,2025-05-14,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,,27646000.000000,,,,,,,
MRT,2022-12-31,2022-12-31,2022-12-31,2022-Q4,364258000.000000,,2025-05-14,-774000.000000,426234000.000000,427765500.000000,387955000.000000,38279000.000000,0.000000,-16.424000,-511000.000000,242206000.000000,242206000.000000,0.000000,-130904000.000000,16.371000,-0.066000,8442000.000000,3370000.000000,5072000.000000,8442000.000000,0.000000,2697000.000000,0.000000,,0.000000,-130904000.000000,-128207000.000000,,-128207000.000000,-130904000.000000,-130904000.000000,-4.810000,-4.810000,-4.810000,-446850000.000000,-386035500.000000,-446850000.000000,,,,-115407000.000000,-4.242000,1.000000,0.000000,,0.000000,0.000000,168773000.000000,83736000.000000,0.000000,154452000.000000,130941000.000000,23511000.000000,29397000.000000,23697000.000000,5700000.000000,-167166000.000000,-13000000.000000,4271000.000000,0.000000,0.000000,115743000.000000,-168013000.000000,-154502000.000000,-114896000.000000,0.000000,-130904000.000000,-130904000.000000,-130904000.000000,0.000000,0.000000,,135870000.000000,-135870000.000000,7147000.000000,0.000000,,,,10642000.000000,0.000000,,,,0.000000,-467509000.000000,0.000000,0.000000,91749000.000000,-0.306000,0.339000,-1.563000,,8298000.000000,31121000.000000,1.000000,137239096.000000,27207000.000000,27207000.000000,0.000000,426234000.000000,0.000000,0.000000,0.000000,15.666000
MRT,2023-03-31,2023-03-31,2023-03-31,2023-Q1,,,2025-05-14,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,137239096.000000,29277000.000000,,,,,,,
